Region,Code,Area_name,All_Residents,age20to29,Age30to49,Age50to69,Age70andover,Leave_votes,Remain_votes,Percent_Leave,Percent_Remain,Percent_Turnout,Voting
Scotland,S12000005,Clackmannanshire,51400,5800,14900,13400,0,10736,14691,42.22,57.78,67.23,Remain
Scotland,S12000006,Dumfries and Galloway,151300,15100,37500,43500,0,38803,43864,46.94,53.06,71.41,Remain
Scotland,S12000008,East Ayrshire,122700,14500,34100,31600,0,23942,33891,41.4,58.6,62.91,Remain
Scotland,S12000010,East Lothian,99700,10100,27700,25500,0,19738,36026,35.4,64.6,71.73,Remain
Scotland,S12000011,East Renfrewshire,90600,8600,24100,23400,0,13596,39345,25.68,74.32,76.13,Remain
Scotland,S12000013,Eilean Siar,27700,2500,7200,7900,0,6671,8232,44.76,55.24,70.18,Remain
Scotland,S12000014,Falkirk,156000,18100,46100,38200,0,34271,44987,43.24,56.76,67.55,Remain
Scotland,S12000015,Fife,365200,44900,99200,93600,0,75466,106754,41.41,58.59,66.78,Remain
Scotland,S12000017,Highland,232100,24400,61800,64400,0,55349,70308,44.05,55.95,71.61,Remain
Scotland,S12000018,Inverclyde,81500,9700,22100,21300,0,14010,24688,36.2,63.8,66.05,Remain
Scotland,S12000019,Midlothian,83200,9200,22900,21600,0,17251,28217,37.94,62.06,68.15,Remain
Scotland,S12000020,Moray,93300,10300,25000,24100,0,23992,24114,49.87,50.13,67.45,Remain
Scotland,S12000021,North Ayrshire,138200,15200,36300,37200,0,29110,38394,43.12,56.88,64.59,Remain
Scotland,S12000023,Orkney Islands,21400,2100,5600,6000,0,4193,7189,36.84,63.16,68.45,Remain
Scotland,S12000024,Perth and Kinross,146700,15600,38400,39700,0,31614,49641,38.91,61.09,73.75,Remain
Scotland,S12000026,Scottish Borders,113900,10300,29700,32700,0,26962,37952,41.53,58.47,73.44,Remain
Scotland,S12000027,Shetland Islands,23200,2500,6400,6000,0,5315,6907,43.49,56.51,70.39,Remain
Scotland,S12000028,South Ayrshire,112800,11700,28500,32000,0,25241,36265,41.04,58.96,69.84,Remain
Scotland,S12000029,South Lanarkshire,313800,35800,89400,80700,0,60024,102568,36.92,63.08,65.35,Remain
Scotland,S12000030,Stirling,90200,12100,23600,22100,0,15787,33112,32.28,67.72,74.03,Remain
Scotland,S12000033,Aberdeen City,222800,44400,61900,48100,0,40729,63985,38.9,61.1,67.94,Remain
Scotland,S12000034,Aberdeenshire,253000,26300,72700,66300,0,62516,76445,44.99,55.01,70.63,Remain
Scotland,S12000035,Argyll and Bute,88200,8600,21800,25900,0,19202,29494,39.43,60.57,73.13,Remain
Scotland,S12000036,City of Edinburgh,476600,93100,138300,98600,0,64498,187796,25.56,74.44,72.96,Remain
Scotland,S12000038,Renfrewshire,174900,21700,49100,43900,0,31010,57119,35.19,64.81,69.29,Remain
Scotland,S12000039,West Dunbartonshire,90700,11600,25000,23000,0,16426,26794,38.01,61.99,63.98,Remain
Scotland,S12000040,West Lothian,175100,21200,53000,41000,0,36948,51560,41.75,58.25,67.64,Remain
Scotland,S12000041,Angus,116000,12000,30300,31500,0,26511,32747,44.74,55.26,68.03,Remain
Scotland,S12000042,Dundee City,147300,27000,36400,32800,0,26697,39688,40.22,59.78,62.92,Remain
Scotland,S12000044,North Lanarkshire,337800,42800,98400,80000,0,59400,95549,38.34,61.66,60.91,Remain
Scotland,S12000045,East Dunbartonshire,105000,10300,27100,28800,0,17840,44534,28.6,71.4,75.17,Remain
Scotland,S12000046,Glasgow City,593200,111600,172800,120000,0,84474,168335,33.41,66.59,56.25,Remain
Northern Ireland,N92000002,Northern Ireland,1810863,250112,505592,392616,181599,349442,440707,44.22,55.78,62.69,Remain
East,E07000101,Stevenage,83957,11537,24563,17658,8631,27126,18659,59.25,40.75,73.7,Leave
South West,E07000190,Taunton Deane,110187,12273,28321,27909,15964,34789,30944,52.92,47.08,78.16,Leave
London,E09000027,Richmond upon Thames,186990,21691,63932,39420,17890,33410,75396,30.71,69.29,82.09,Remain
Yorkshire and The Humber,E06000011,East Riding of Yorkshire,334179,30852,86401,94488,50387,120136,78779,60.4,39.6,74.81,Leave
East Midlands,E07000132,Hinckley and Bosworth,105078,11143,29115,28219,13306,39501,25969,60.33,39.67,76.8,Leave
London,E09000025,Newham,307984,73023,94081,40063,14601,49371,55328,47.16,52.84,59.25,Remain
East,E06000056,Central Bedfordshire,254381,28082,74673,62381,27454,89134,69670,56.13,43.87,77.89,Leave
North West,E07000124,Ribble Valley,57132,5099,14923,15729,8034,20550,15892,56.39,43.61,79.02,Leave
East Midlands,E07000135,Oadby and Wigston,56170,6486,14340,13199,8084,17173,14292,54.58,45.42,73.77,Leave
East Midlands,E07000130,Charnwood,166100,26200,42939,38554,19198,50672,43500,53.81,46.19,70.46,Leave
South East,E07000111,Sevenoaks,114893,10466,31461,29738,15349,38258,32091,54.38,45.62,80.68,Leave
North West,E08000007,Stockport,283275,31080,79275,69386,36750,77930,85559,47.67,52.33,73.97,Remain
South West,E06000028,Bournemouth,183491,32065,51354,37884,24263,50453,41473,54.88,45.12,69.3,Leave
South West,E07000080,Forest of Dean,81961,7801,20690,23303,11696,30251,21392,58.58,41.42,77.47,Leave
Wales,W06000001,Isle of Anglesey,69751,7466,16800,19659,10887,19333,18618,50.94,49.06,73.82,Leave
Wales,W06000022,Newport,145736,19447,39489,32435,16982,41236,32413,55.99,44.01,70.21,Leave
Wales,W06000003,Conwy,115228,11202,27383,31720,20558,35357,30147,53.98,46.02,71.75,Leave
East,E07000073,Harlow,81944,10828,23683,17354,9169,29602,13867,68.1,31.9,73.56,Leave
West Midlands,E08000025,Birmingham,1073045,179515,290767,191895,100670,227251,223451,50.42,49.58,63.81,Leave
South East,E06000044,Portsmouth,205056,39752,55372,38713,19757,57336,41384,58.08,41.92,70.3,Leave
North West,E06000049,Cheshire East,370127,37635,101878,96916,50298,113163,107962,51.18,48.82,77.36,Leave
East,E06000034,Thurrock,157705,20966,48101,32575,14025,57765,22151,72.28,27.72,72.75,Leave
East,E07000069,Castle Point,88011,8952,22129,24495,13202,37691,14154,72.7,27.3,75.38,Leave
West Midlands,E07000219,Nuneaton and Bedworth,125252,15424,34866,30500,14215,46095,23736,66.01,33.99,74.35,Leave
East Midlands,E07000136,Boston,64637,8314,16628,16412,9007,22974,7430,75.56,24.44,77.27,Leave
South East,E07000213,Spelthorne,95598,11119,28545,22038,12143,34135,22474,60.3,39.7,77.93,Leave
London,E09000011,Greenwich,254557,42100,82719,42802,18621,52117,65248,44.41,55.59,69.52,Remain
South West,E07000191,West Somerset,34675,3293,6958,10932,7228,13168,8566,60.59,39.41,79.17,Leave
East,E07000102,Three Rivers,87317,9073,25433,20452,10705,27097,25751,51.27,48.73,78.5,Leave
West Midlands,E06000051,Shropshire,306129,32238,78932,82523,44240,104166,78987,56.87,43.13,77.42,Leave
North East,E06000001,Hartlepool,92028,11577,24136,22132,11362,32071,14029,69.57,30.43,65.59,Leave
South West,E07000081,Gloucester,121688,17122,34801,26495,12741,37776,26801,58.5,41.5,72.06,Leave
West Midlands,E07000194,Lichfield,100654,10245,27082,27659,13361,37214,26064,58.81,41.19,78.78,Leave
North East,E08000022,North Tyneside,200801,23319,57410,49716,25591,60589,52873,53.4,46.6,72.3,Leave
South East,E06000046,Isle of Wight,138265,13498,33193,39250,23212,49173,30207,61.95,38.05,72.31,Leave
London,E09000030,Tower Hamlets,254096,70975,82023,27562,11430,35224,73011,32.54,67.46,64.6,Remain
South East,E07000063,Lewes,97502,9275,24405,26238,16173,28508,30974,47.93,52.07,77.89,Remain
Yorkshire and The Humber,E08000018,Rotherham,257280,30649,69264,63947,31156,93272,44115,67.89,32.11,69.56,Leave
South West,E07000082,Stroud,112779,10156,30425,30840,15403,33618,40446,45.39,54.61,80.03,Remain
West Midlands,E07000221,Stratford-on-Avon,120485,10639,31293,34363,18463,40817,38341,51.56,48.44,80.82,Leave
Yorkshire and The Humber,E07000167,Ryedale,51751,4288,12508,15438,8448,17710,14340,55.26,44.74,77.22,Leave
South East,E06000041,Wokingham,154380,15499,46521,37099,16452,42229,55272,43.31,56.69,80.03,Remain
North West,E06000009,Blackpool,142065,17109,37879,35213,19510,45146,21781,67.46,32.54,65.42,Leave
South West,E07000049,East Dorset,87166,6645,19636,25534,18019,33702,24786,57.62,42.38,81.33,Leave
North East,E06000004,Stockton-on-Tees,191610,25253,52179,45401,21206,61982,38433,61.73,38.27,71,Leave
South East,E07000087,Fareham,111581,11167,30033,29427,16199,39525,32210,55.1,44.9,79.59,Leave
North West,E06000008,Blackburn with Darwen,147489,20669,40763,30389,13372,36799,28522,56.34,43.66,65.33,Leave
East Midlands,E07000170,Ashfield,119497,14168,33728,29308,13691,46720,20179,69.84,30.16,72.83,Leave
North West,E07000127,West Lancashire,110685,12643,28265,29030,14405,35323,28546,55.31,44.69,74.47,Leave
South East,E07000217,Woking,99198,11773,31011,21482,10753,24214,31007,43.85,56.15,77.49,Remain
South West,E06000053,Isles of Scilly,2203,246,602,633,342,621,803,43.61,56.39,79.16,Remain
North West,E07000123,Preston,140202,24812,37846,27951,13943,34518,30227,53.31,46.69,68.72,Leave
London,E09000033,Westminster,219396,44988,78104,37975,17324,24268,53928,31.03,68.97,64.99,Remain
North West,E08000014,Sefton,273790,30830,68766,71558,41953,71176,76702,48.13,51.87,71.73,Remain
East Midlands,E07000151,Daventry,77843,7385,22067,20984,8783,28938,20443,58.6,41.4,81.01,Leave
West Midlands,E08000031,Wolverhampton,249470,35935,68769,52038,29776,73798,44138,62.57,37.43,67.54,Leave
North West,E08000015,Wirral,319783,36008,83352,81433,43931,83069,88931,48.3,51.7,70.96,Remain
East,E07000143,Breckland,130491,14637,32889,34027,20050,47235,26313,64.22,35.78,74.34,Leave
South East,E07000207,Elmbridge,130875,11145,40652,29911,15700,31162,45841,40.47,59.53,78.14,Remain
South East,E07000229,Worthing,104640,11510,29205,24547,16230,32515,28851,52.99,47.01,75.46,Leave
